date,adj_close
2008-05-09,5.4867
2008-05-16,5.6114
2008-05-23,5.4185
2008-05-30,5.6452
2008-06-06,5.5522
2008-06-13,5.1553
2008-06-20,5.242
2008-06-27,5.0871
2008-07-03,5.088
2008-07-11,5.1616
2008-07-18,4.9394
2008-07-25,4.8487
2008-08-01,4.6854
2008-08-08,5.071
2008-08-15,5.2561
2008-08-22,5.2875
2008-08-29,5.0704
2008-09-05,4.7907
2008-09-12,4.4545
2008-09-19,4.2144
2008-09-26,3.8354
2008-10-03,2.9032
2008-10-10,2.8951
2008-10-17,2.9131
2008-10-24,2.8826
2008-10-31,3.2178
2008-11-07,2.9382
2008-11-14,2.6989
2008-11-21,2.4698
2008-11-28,2.7716
2008-12-05,2.8114
2008-12-12,2.9391
2008-12-19,2.6917
2008-12-26,2.5664
2009-01-02,2.7142
2009-01-09,2.7091
2009-01-16,2.4623
2009-01-23,2.6427
2009-01-30,2.6956
2009-02-06,2.9825
2009-02-13,2.9657
2009-02-20,2.7276
2009-02-27,2.6711
2009-03-06,2.5512
2009-03-13,2.8691
2009-03-20,3.0384
2009-03-27,3.1957
2009-04-03,3.4691
2009-04-09,3.5761
2009-04-17,3.6913
2009-04-24,3.7056
2009-05-01,3.8055
2009-05-08,3.8639
2009-05-15,3.6614
2009-05-22,3.6638
2009-05-29,4.0618
2009-06-05,4.3268
2009-06-12,4.0965
2009-06-19,4.1716
2009-06-26,4.2601
2009-07-02,4.1878
2009-07-10,4.1429
2009-07-17,4.5386
2009-07-24,4.7849
2009-07-31,4.8867
2009-08-07,4.9501
2009-08-14,4.9881
2009-08-21,5.0611
2009-08-28,5.0859
2009-09-04,5.0937
2009-09-11,5.149
2009-09-18,5.5336
2009-09-25,5.4544
2009-10-02,5.53
2009-10-09,5.6966
2009-10-16,5.6243
2009-10-23,6.0995
2009-10-30,5.6377
2009-11-06,5.8124
2009-11-13,6.1148
2009-11-20,5.9793
2009-11-27,5.9993
2009-12-04,5.7819
2009-12-11,5.8222
2009-12-18,5.845
2009-12-24,6.252
2009-12-31,6.3026
2010-01-08,6.34
2010-01-15,6.159
2010-01-22,5.9144
2010-01-29,5.7443
2010-02-05,5.8459
2010-02-12,5.993
2010-02-19,6.0316
2010-02-26,6.1198
2010-03-05,6.5484
2010-03-12,6.7772
2010-03-19,6.6471
2010-03-26,6.9058
2010-04-01,7.0575
2010-04-09,7.2315
2010-04-16,7.3993
2010-04-23,8.1001
2010-04-30,7.8088
2010-05-07,7.0542
2010-05-14,7.5913
2010-05-21,7.2474
